Date,Open,High,Low,Close,Tick Volume,Volume
2018.08.23 14:46,4178.405,4180.945,4178.405,4178.405,677,2417
2018.08.23 14:47,4178.405,4179.929,4177.389,4179.929,489,1638
2018.08.23 14:48,4179.929,4180.437,4176.373,4177.389,602,2290
2018.08.23 14:49,4177.389,4178.405,4176.880999999999,4177.389,285,892
2018.08.23 14:50,4177.897,4177.897,4176.373,4177.389,211,563
2018.08.23 14:51,4177.389,4180.437,4176.880999999999,4179.420999999999,458,1379
2018.08.23 14:52,4179.929,4186.025,4179.929,4185.009,2720,9085
2018.08.23 14:53,4184.501,4185.009,4180.945,4181.4529999999995,1163,3438
2018.08.23 14:54,4180.945,4182.977,4180.437,4182.469,526,1489
2018.08.23 14:55,4182.469,4183.485,4179.420999999999,4179.420999999999,864,2862
2018.08.23 14:56,4179.420999999999,4181.960999999999,4179.420999999999,4180.945,398,1184
2018.08.23 14:57,4180.437,4181.960999999999,4179.929,4181.960999999999,258,646
2018.08.23 14:58,4181.960999999999,4182.469,4179.420999999999,4179.929,491,1433
2018.08.23 14:59,4179.929,4181.960999999999,4178.913,4181.960999999999,759,2499
2018.08.23 15:00,4181.4529999999995,4183.9929999999995,4180.945,4182.469,910,2880
2018.08.23 15:01,4181.960999999999,4184.501,4179.929,4183.9929999999995,1078,3685
2018.08.23 15:02,4183.9929999999995,4188.565,4183.485,4186.025,2214,6807
2018.08.23 15:03,4185.517,4187.549,4184.501,4186.532999999999,891,2595
2018.08.23 15:04,4186.532999999999,4187.549,4185.517,4186.532999999999,709,2168
2018.08.23 15:05,4186.532999999999,4187.549,4184.501,4185.009,771,2670
2018.08.23 15:06,4184.501,4187.041,4184.501,4186.532999999999,463,1525
2018.08.23 15:07,4187.041,4187.041,4185.009,4185.517,316,1012
2018.08.23 15:08,4185.517,4185.517,4183.485,4183.9929999999995,685,2007
2018.08.23 15:09,4183.9929999999995,4185.009,4181.960999999999,4182.977,722,2611
2018.08.23 15:10,4182.977,4186.025,4181.960999999999,4184.501,698,2645
2018.08.23 15:11,4184.501,4189.581,4183.485,4189.073,1539,4717
2018.08.23 15:12,4189.581,4194.153,4187.549,4190.089,2754,9984
2018.08.23 15:13,4190.597,4192.121,4189.581,4192.121,572,2010
2018.08.23 15:14,4192.121,4192.121,4189.073,4190.597,572,2413
2018.08.23 15:15,4190.089,4194.153,4189.581,4192.629,1250,5064
2018.08.23 15:16,4192.121,4193.137,4188.565,4189.073,1187,4475
2018.08.23 15:17,4189.581,4189.581,4186.025,4186.025,988,3737
2018.08.23 15:18,4186.025,4186.532999999999,4183.485,4185.009,1124,4114
2018.08.23 15:19,4185.009,4187.041,4184.501,4185.009,576,2193
2018.08.23 15:20,4185.009,4185.009,4181.4529999999995,4181.960999999999,1287,4080
2018.08.23 15:21,4181.4529999999995,4183.9929999999995,4181.4529999999995,4183.485,449,1548
2018.08.23 15:22,4183.9929999999995,4184.501,4181.960999999999,4184.501,622,2284
2018.08.23 15:23,4185.009,4185.009,4182.469,4183.9929999999995,559,2093
2018.08.23 15:24,4184.501,4188.057,4183.9929999999995,4187.549,1539,4909
2018.08.23 15:25,4187.549,4190.089,4187.041,4188.565,1117,3676
2018.08.23 15:26,4188.565,4190.597,4188.057,4189.073,770,2769
2018.08.23 15:27,4189.073,4190.089,4188.565,4189.581,242,927
2018.08.23 15:28,4189.581,4191.613,4188.057,4190.597,645,1999
2018.08.23 15:29,4190.597,4192.629,4190.597,4191.613,779,2538
2018.08.23 15:30,4191.613,4194.153,4191.613,4191.613,1111,3875
2018.08.23 15:31,4191.613,4192.121,4190.089,4190.089,671,2151
2018.08.23 15:32,4190.089,4194.153,4190.089,4193.137,692,2104
2018.08.23 15:33,4193.137,4194.661,4192.629,4194.153,655,2027
2018.08.23 15:34,4193.645,4197.201,4192.629,4195.169,1729,5916
2018.08.23 15:35,4195.169,4195.677,4192.121,4192.121,1066,3843
2018.08.23 15:36,4192.121,4192.629,4190.597,4192.121,934,3454
2018.08.23 15:37,4191.613,4191.613,4189.581,4190.597,582,2109
2018.08.23 15:38,4190.597,4193.645,4189.581,4192.629,690,2061
2018.08.23 15:39,4192.629,4193.645,4188.565,4190.089,1251,4213
2018.08.23 15:40,4190.089,4192.629,4189.581,4192.121,565,1372
2018.08.23 15:41,4192.121,4192.629,4189.073,4191.105,422,1158
2018.08.23 15:42,4190.597,4191.105,4189.073,4189.073,277,894
2018.08.23 15:43,4189.073,4191.613,4189.073,4191.105,309,1064
2018.08.23 15:44,4191.105,4192.121,4189.581,4191.105,420,1324
2018.08.23 15:45,4191.613,4193.645,4191.105,4191.613,495,1835
2018.08.23 15:46,4191.105,4193.137,4190.597,4192.629,193,519
2018.08.23 15:47,4192.121,4193.645,4191.105,4193.137,298,960
2018.08.23 15:48,4193.645,4198.217000000001,4193.137,4197.201,2144,7450
2018.08.23 15:49,4196.693,4196.693,4194.661,4195.677,755,2635
2018.08.23 15:50,4195.169,4196.693,4194.153,4195.169,930,2832
2018.08.23 15:51,4194.661,4195.169,4191.613,4191.613,934,2802
2018.08.23 15:52,4191.613,4192.629,4189.073,4189.581,1208,4243
2018.08.23 15:53,4189.073,4190.597,4188.057,4189.073,858,2505
2018.08.23 15:54,4189.073,4192.121,4187.041,4190.597,1184,3595
